epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
119,20281.3,0.3671,0.16731,0.0009,0.99704,0.99483,0.99461,0.97441,0.2814,0.09408,0.00082,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,20451,0.36923,0.16526,0.0009,0.9968,0.99481,0.9946,0.97455,0.28104,0.09391,0.00082,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,20620.2,0.3659,0.16415,0.0009,0.99655,0.9948,0.99459,0.97452,0.28117,0.09386,0.00082,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,20789.5,0.36635,0.16524,0.00089,0.99654,0.99445,0.99459,0.97435,0.28113,0.09402,0.00082,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,20958.7,0.3637,0.1652,0.00089,0.99647,0.995,0.9946,0.97448,0.28092,0.09396,0.00082,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,21128,0.36406,0.16216,0.00089,0.997,0.99473,0.99459,0.97442,0.28108,0.094,0.00082,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,21297,0.35888,0.16161,0.00088,0.99707,0.9949,0.9946,0.9743,0.28116,0.09379,0.00082,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,21465.9,0.36188,0.18613,0.00089,0.9969,0.99499,0.99461,0.97446,0.28091,0.09353,0.00082,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,21635.6,0.3591,0.16285,0.00088,0.99662,0.9951,0.99462,0.9745,0.28086,0.0934,0.00081,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,21805.1,0.36042,0.16534,0.00088,0.99686,0.99537,0.99462,0.97453,0.28081,0.09328,0.00081,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,21974.4,0.35668,0.16085,0.00087,0.99677,0.99528,0.99463,0.97461,0.28072,0.0935,0.00081,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
